playlist_id,playlist_name,curator_type,curator,playlist_followers,track_id,track_title,artist,artist_id,artist_country,region_group,diaspora,track_popularity,artist_popularity,playlist_position,release_year,album_label,label_type,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,key,mode,time_signature
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,7od7AQDGyj8mM44djQpBGW,Runaway,"Mack H.D, Bolu Ajibade",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,55,54,1,2023,Unknown,Independent,0.756,0.798,0.877,109.9,0.21,0.0711,0.137,0.3,-6.21,0,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,3SozjO3Lat463tQICI9LcE,South Africa,Southern Africa,False,83,78,2,2023,Unknown,Independent,0.712,0.764,0.624,113.3,0.228,0.0285,0.303,0.3,-7.86,11,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,3baPniPXS0iEII8rDUJdYP,Monalisa,"Lojay, Sarz, Chris Brown",3ONGmday8YN8AkbsRk01iL,Nigeria,West Africa,False,72,63,3,2022,Unknown,Independent,0.777,0.626,0.867,111.1,0.198,0.1001,0.134,0.3,-7.78,10,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1xs8bOvm3IzEYmcLJVOc34,Rush,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,Nigeria,West Africa,False,72,75,4,2022,Unknown,Independent,0.645,0.786,0.508,125.8,0.373,0.1391,0.201,0.3,-4.41,5,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0JHiAVySqpLE1RpBMkZnau,NWANGOLO,"Mack H.D, Tmaro",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,54,54,5,2025,Unknown,Independent,0.769,0.818,0.591,113.4,0.289,0.0008,0.336,0.3,-6.11,2,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0HaRLPnr887lcQM2YQzkff,For My Hand (feat. Ed Sheeran),"Burna Boy, Ed Sheeran",3wcj11K77LjEY1PkEazffa,Nigeria,West Africa,False,66,80,6,2022,Unknown,Independent,0.625,0.693,0.506,111.2,0.231,0.0025,0.118,0.154,-5.72,6,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4vb777iaycnlFxVkJMmtfd,Peru,"Fireboy DML, Ed Sheeran",75VKfyoBlkmrJFDqo1o2VY,Nigeria,West Africa,False,67,71,7,2022,Unknown,Independent,0.765,0.683,0.768,128.8,0.162,0.0361,0.35,0.3,-6.08,10,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,03EtmULCazJ82wVWM0greK,International Lovin,"Mack H.D, Princess Wonda",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,51,54,8,2024,Unknown,Independent,0.581,0.716,0.518,110.4,0.139,0.0307,0.05,0.3,-3.35,7,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2rDtfPMI5mDJVTwYYG00QI,"Soweto (with Don Toliver, Rema & Tempoe)","Victony, Rema, Tempoe, Don Toliver",1E5hfn5BduN2nnoZCJmUVG,Nigeria,West Africa,False,73,67,9,2023,Unknown,Independent,0.71,0.809,0.664,90.0,0.09,0.0183,0.218,0.3,-6.21,5,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1wADwLSkYhrSmy4vdy6BRn,soso,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,Nigeria,West Africa,False,73,74,10,2022,Unknown,Independent,0.772,0.808,0.738,116.2,0.272,0.0418,0.14,0.3,-4.71,6,0,4
